"","Type","mean","std"
"1","dubious",0.142493656060173,0.130314071739764
"2","mistake",0.166848883702449,0.140906444832402
"3","blunder",0.177169805386812,0.154278341444797
"4","normal",0.224804941207977,0.181878201864135
